timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B,000D6F0002792D8A,000D6F0002793AA7
1391188562.2645061,66.49015344165278,44.946979436118006,0.0,NULL,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188563.295944,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188563.86761,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188564.8852041,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188565.8682139,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188567.3766079,68.630438507531295,44.946979436118006,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,NULL
1391188568.4321229,66.49015344165278,44.946979436118006,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,NULL
1391188569.4627709,66.49015344165278,44.946979436118006,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,NULL
1391188570.6034329,66.49015344165278,44.946979436118006,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188571.8263979,66.49015344165278,44.946979436118006,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188572.9469781,68.630438507531295,44.946979436118006,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188574.0718729,66.49015344165278,44.946979436118006,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188575.146565,66.49015344165278,44.946979436118006,NULL,NULL,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188576.411159,68.630438507531295,44.946979436118006,NULL,NULL,NULL,0.0,NULL,0.0,NULL,NULL,NULL
1391188577.5907519,66.49015344165278,44.946979436118006,NULL,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188578.673821,66.49015344165278,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188579.753746,66.49015344165278,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188580.7928929,66.49015344165278,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188581.8254559,68.630438507531295,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188582.7300019,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188583.4716001,68.630438507531295,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188584.3940761,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188585.396234,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188586.40132,68.630438507531295,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188587.8498449,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188588.857533,68.630438507531295,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188589.859777,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188590.880697,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188592.0572219,66.49015344165278,44.946979436118006,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188593.2194209,68.630438507531295,44.946979436118006,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188594.42382,66.49015344165278,44.946979436118006,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188595.5953951,66.49015344165278,44.946979436118006,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188596.7299409,68.630438507531295,44.946979436118006,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188597.847985,66.49015344165278,42.813807778596065,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188598.8844011,66.49015344165278,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188599.94718,68.630438507531295,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188601.044311,66.49015344165278,44.946979436118006,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188602.0764539,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188602.72138,64.34986041858933,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188603.6464241,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188604.6508961,66.49015344165278,44.946979436118006,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188606.0205431,68.630438507531295,42.813807778596065,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188607.099303,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188608.1078241,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188609.1330121,66.49015344165278,44.946979436118006,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188610.242183,66.49015344165278,44.946979436118006,0.0,0.0,NULL,NULL,NULL,0.0,NULL,NULL,NULL
1391188611.343729,66.49015344165278,36.414241073001826,0.0,0.0,NULL,NULL,NULL,0.0,NULL,NULL,NULL
1391188612.486654,66.49015344165278,32.147820158415314,0.0,0.0,NULL,NULL,NULL,0.0,NULL,NULL,NULL
1391188613.4909871,66.49015344165278,32.147820158415314,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188614.6156659,64.34986041858933,30.014596767864962,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188615.7396309,68.630438507531295,32.147820158415314,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188616.7980161,66.49015344165278,32.147820158415314,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188617.809303,64.34986041858933,32.147820158415314,0.0,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188618.845387,66.49015344165278,32.147820158415314,0.0,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188619.8576629,66.49015344165278,30.014596767864962,0.0,NULL,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188620.617456,66.49015344165278,32.147820158415314,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188621.428477,66.49015344165278,32.147820158415314,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188622.8771989,66.49015344165278,32.147820158415314,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188623.8949599,66.49015344165278,30.014596767864962,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188624.966356,66.49015344165278,32.147820158415314,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
1391188626.0322509,68.630438507531295,59.878939617972314,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188627.0691431,66.49015344165278,49.213296884647676,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188628.2450509,66.49015344165278,49.213296884647676,0.0,0.0,NULL,NULL,NULL,0.0,0.0,NULL,NULL
1391188629.4628861,66.49015344165278,49.213296884647676,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL
1391188630.556515,66.49015344165278,91.874574492235752,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188631.6734459,66.49015344165278,91.874574492235752,0.0,NULL,0.0,NULL,NULL,0.0,NULL,NULL,NULL
1391188632.7331879,64.34986041858933,89.741592522484694,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188633.8226261,66.49015344165278,91.874574492235752,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188634.8456621,64.34986041858933,91.874574492235752,0.0,NULL,0.0,0.0,NULL,0.0,NULL,NULL,NULL
1391188635.6851299,66.49015344165278,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188636.428345,64.34986041858933,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188637.4266429,64.34986041858933,89.741592522484694,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188638.4657681,66.49015344165278,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188639.4226699,66.49015344165278,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188640.4381809,66.49015344165278,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188641.4130969,64.34986041858933,91.874574492235752,0.0,0.0,0.0,0.0,NULL,0.0,0.0,NULL,NULL
1391188642.8574071,66.49015344165278,94.00754783981543,0.0,0.0,NULL,0.0,NULL,0.0,0.0,NULL,NULL
