Surname,Name,Sex,Age,Rescue Ship,Arrival Pier,Arrival Harbour,Arrival Time
Cumings,Mrs. John Bradley (Florence Briggs Thayer),female,38.0,Carpathia,Pier 54,New York,1912-04-18 21:32:51
Heikkinen,Miss. Laina,female,26.0,Carpathia,Pier 54,New York,1912-04-18 21:33:49
Futrelle,Mrs. Jacques Heath (Lily May Peel),female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:35:31
Johnson,Mrs. Oscar W (Elisabeth Vilhelmina Berg),female,27.0,Carpathia,Pier 54,New York,1912-04-18 21:34:24
Nasser,Mrs. Nicholas (Adele Achem),female,14.0,Carpathia,Pier 54,New York,1912-04-18 21:34:02
Sandstrom,Miss. Marguerite Rut,female,4.0,Carpathia,Pier 54,New York,1912-04-18 21:32:48
Bonnell,Miss. Elizabeth,female,58.0,Carpathia,Pier 54,New York,1912-04-18 21:35:08
Hewlett,Mrs. (Mary D Kingcome) ,female,55.0,Carpathia,Pier 54,New York,1912-04-18 21:31:43
Williams,Mr. Charles Eugene,male,,Carpathia,Pier 54,New York,1912-04-18 21:30:20
Masselmani,Mrs. Fatima,female,,Carpathia,Pier 54,New York,1912-04-18 21:32:05
Beesley,Mr. Lawrence,male,34.0,Carpathia,Pier 54,New York,1912-04-18 21:34:27
McGowan,"Miss. Anna ""Annie""",female,15.0,Carpathia,Pier 54,New York,1912-04-18 21:30:52
Sloper,Mr. William Thompson,male,28.0,Carpathia,Pier 54,New York,1912-04-18 21:32:59
Asplund,Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38.0,Carpathia,Pier 54,New York,1912-04-18 21:30:02
O'Dwyer,"Miss. Ellen ""Nellie""",female,,Carpathia,Pier 54,New York,1912-04-18 21:33:14
Spencer,Mrs. William Augustus (Marie Eugenie),female,,Carpathia,Pier 54,New York,1912-04-18 21:30:58
Glynn,Miss. Mary Agatha,female,,Carpathia,Pier 54,New York,1912-04-18 21:35:01
Mamee,Mr. Hanna,male,,Carpathia,Pier 54,New York,1912-04-18 21:32:20
Nicola-Yarred,Miss. Jamila,female,14.0,Carpathia,Pier 54,New York,1912-04-18 21:33:19
Laroche,Miss. Simonne Marie Anne Andree,female,3.0,Carpathia,Pier 54,New York,1912-04-18 21:34:32
Devaney,Miss. Margaret Delia,female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:34:44
O'Driscoll,Miss. Bridget,female,,Carpathia,Pier 54,New York,1912-04-18 21:35:28
Harper,Mrs. Henry Sleeper (Myna Haxtun),female,49.0,Carpathia,Pier 54,New York,1912-04-18 21:33:04
Faunthorpe,Mrs. Lizzie (Elizabeth Anne Wilkinson),female,29.0,Carpathia,Pier 54,New York,1912-04-18 21:34:57
Woolner,Mr. Hugh,male,,Carpathia,Pier 54,New York,1912-04-18 21:30:22
Rugg,Miss. Emily,female,21.0,Carpathia,Pier 54,New York,1912-04-18 21:33:03
West,Miss. Constance Mirium,female,5.0,Carpathia,Pier 54,New York,1912-04-18 21:33:13
Icard,Miss. Amelie,female,38.0,Carpathia,Pier 54,New York,1912-04-18 21:34:15
Moubarek,Master. Gerios,male,,Carpathia,Pier 54,New York,1912-04-18 21:30:36
Nye,Mrs. (Elizabeth Ramell),female,29.0,Carpathia,Pier 54,New York,1912-04-18 21:31:32
Andersson,Miss. Erna Alexandra,female,17.0,Carpathia,Pier 54,New York,1912-04-18 21:31:05
Bing,Mr. Lee,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:34:26
Caldwell,Master. Alden Gates,male,0.83,Carpathia,Pier 54,New York,1912-04-18 21:30:25
Dowdell,Miss. Elizabeth,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:33:48
Sheerlinck,Mr. Jan Baptist,male,29.0,Carpathia,Pier 54,New York,1912-04-18 21:31:30
McDermott,Miss. Brigdet Delia,female,,Carpathia,Pier 54,New York,1912-04-18 21:30:27
Ilett,Miss. Bertha,female,17.0,Carpathia,Pier 54,New York,1912-04-18 21:31:31
Backstrom,Mrs. Karl Alfred (Maria Mathilda Gustafsson),female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:30:03
Fortune,Miss. Mabel Helen,female,23.0,Carpathia,Pier 54,New York,1912-04-18 21:35:21
Greenfield,Mr. William Bertram,male,23.0,Carpathia,Pier 54,New York,1912-04-18 21:30:18
Doling,Mrs. John T (Ada Julia Bone),female,34.0,Carpathia,Pier 54,New York,1912-04-18 21:32:10
Salkjelsvik,Miss. Anna Kristine,female,21.0,Carpathia,Pier 54,New York,1912-04-18 21:32:01
Moss,Mr. Albert Johan,male,,Carpathia,Pier 54,New York,1912-04-18 21:34:03
Moran,Miss. Bertha,female,,Carpathia,Pier 54,New York,1912-04-18 21:32:24
Webber,Miss. Susan,female,32.5,Carpathia,Pier 54,New York,1912-04-18 21:31:26
Nicola-Yarred,Master. Elias,male,12.0,Carpathia,Pier 54,New York,1912-04-18 21:31:21
Madsen,Mr. Fridtjof Arne,male,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:04
Peter,Miss. Anna,female,,Carpathia,Pier 54,New York,1912-04-18 21:34:18
Weisz,Mrs. Leopold (Mathilde Francoise Pede),female,29.0,Carpathia,Pier 54,New York,1912-04-18 21:33:13
Newsom,Miss. Helen Monypeny,female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:33:23
Nysten,Miss. Anna Sofia,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:32:46
Hakkarainen,Mrs. Pekka Pietari (Elin Matilda Dolck),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:32:40
Andersson,"Mr. August Edvard (""Wennerstrom"")",male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:32:37
Pears,Mrs. Thomas (Edith Wearne),female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:32:30
Gilnagh,"Miss. Katherine ""Katie""",female,16.0,Carpathia,Pier 54,New York,1912-04-18 21:34:32
Watt,"Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,Carpathia,Pier 54,New York,1912-04-18 21:35:35
Goldsmith,"Master. Frank John William ""Frankie""",male,9.0,Carpathia,Pier 54,New York,1912-04-18 21:31:59
Chibnall,Mrs. (Edith Martha Bowerman),female,,Carpathia,Pier 54,New York,1912-04-18 21:34:11
Johnson,Miss. Eleanor Ileen,female,1.0,Carpathia,Pier 54,New York,1912-04-18 21:33:06
Becker,Master. Richard F,male,1.0,Carpathia,Pier 54,New York,1912-04-18 21:31:55
Kink-Heilmann,Miss. Luise Gretchen,female,4.0,Carpathia,Pier 54,New York,1912-04-18 21:32:02
O'Brien,"Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,Carpathia,Pier 54,New York,1912-04-18 21:31:00
Romaine,"Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,Carpathia,Pier 54,New York,1912-04-18 21:33:47
Pinsky,Mrs. (Rosa),female,32.0,Carpathia,Pier 54,New York,1912-04-18 21:32:31
Andersen-Jensen,Miss. Carla Christine Nielsine,female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:35:24
Navratil,Master. Michel M,male,3.0,Carpathia,Pier 54,New York,1912-04-18 21:33:02
Brown,Mrs. James Joseph (Margaret Tobin),female,44.0,Carpathia,Pier 54,New York,1912-04-18 21:35:09
Lurette,Miss. Elise,female,58.0,Carpathia,Pier 54,New York,1912-04-18 21:35:09
Madigan,"Miss. Margaret ""Maggie""",female,,Carpathia,Pier 54,New York,1912-04-18 21:33:33
Cohen,"Mr. Gurshon ""Gus""",male,18.0,Carpathia,Pier 54,New York,1912-04-18 21:34:18
Albimona,Mr. Nassef Cassem,male,26.0,Carpathia,Pier 54,New York,1912-04-18 21:32:00
Carr,"Miss. Helen ""Ellen""",female,16.0,Carpathia,Pier 54,New York,1912-04-18 21:32:02
Blank,Mr. Henry,male,40.0,Carpathia,Pier 54,New York,1912-04-18 21:32:28
Cameron,Miss. Clear Annie,female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:32:25
