Surname,Name,Sib Sp,Par Ch
Abbott,Master. Eugene Joseph,0,2
Abbott,Mr. Rossmore Edward,1,1
Abbott,Mrs. Stanton (Rosa Hunt),1,1
Abelson,Mr. Samuel,1,0
Abelson,Mrs. Samuel (Hannah Wizosky),1,0
Ahlin,Mrs. Johan (Johanna Persdotter Larsson),1,0
Aks,Master. Philip Frank,0,1
Aks,Mrs. Sam (Leah Rosen),0,1
Allison,Master. Hudson Trevor,1,2
Allison,Miss. Helen Loraine,1,2
Allison,Mr. Hudson Joshua Creighton,1,2
Allison,Mrs. Hudson J C (Bessie Waldo Daniels),1,2
Andersen-Jensen,Miss. Carla Christine Nielsine,1,0
Andersson,Master. Sigvard Harald Elias,4,2
Andersson,Miss. Ebba Iris Alfrida,4,2
Andersson,Miss. Ellis Anna Maria,4,2
Andersson,Miss. Erna Alexandra,4,2
Andersson,Miss. Ida Augusta Margareta,4,2
Andersson,Miss. Ingeborg Constanzia,4,2
Andersson,Miss. Sigrid Elisabeth,4,2
Andersson,Mr. Anders Johan,1,5
Andersson,Mrs. Anders Johan (Alfrida Konstantia Brogren),1,5
Andrews,Miss. Kornelia Theodosia,1,0
Angle,Mr. William A,1,0
Angle,"Mrs. William A (Florence ""Mary"" Agnes Hughes)",1,0
Appleton,Mrs. Edward Dale (Charlotte Lamson),2,0
Arnold-Franchi,Mr. Josef,1,0
Arnold-Franchi,Mrs. Josef (Josefine Franchi),1,0
Asplund,Master. Carl Edgar,4,2
Asplund,Master. Clarence Gustaf Hugo,4,2
Asplund,Master. Edvin Rojj Felix,4,2
Asplund,Master. Filip Oscar,4,2
Asplund,Miss. Lillian Gertrud,4,2
Asplund,Mr. Carl Oscar Vilhelm Gustafsson,1,5
Asplund,Mrs. Carl Oscar (Selma Augusta Emilia Johansson),1,5
Astor,Col. John Jacob,1,0
Astor,Mrs. John Jacob (Madeleine Talmadge Force),1,0
Backstrom,Mr. Karl Alfred,1,0
Backstrom,Mrs. Karl Alfred (Maria Mathilda Gustafsson),3,0
Baclini,Miss. Eugenie,2,1
Baclini,Miss. Helene Barbara,2,1
Baclini,Miss. Marie Catherine,2,1
Baclini,Mrs. Solomon (Latifa Qurban),0,3
Barbara,Miss. Saiide,0,1
Barbara,Mrs. (Catherine David),0,1
Baxter,Mr. Quigg Edmond,0,1
Baxter,Mrs. James (Helene DeLaudeniere Chaput),0,1
Beane,Mr. Edward,1,0
Beane,Mrs. Edward (Ethel Clarke),1,0
